No,Code,River,Detail,Amphoe,Province,Lat,Long,Remark,Bank_level,Normal_WL,Danger_WL,River_cap,Normal_Q,Danger_Q
292,N.8B,แม่น้ำน่าน,บางมูลนาก,บางมูลนาก,พิจิตร,16.00941,100.369203,"WL,Q",,,,,,
293,N.12A,แม่น้ำน่าน,บ้านหาดไผ่,ท่าปลา,อุตรดิตถ์,17.736866,100.531582,"WL,Q,R",,,,,,
294,N.13A,แม่น้ำน่าน,บ้านไผ่งาม,เวียงสา,น่าน,18.549979,100.76103,"WL,Q",6.5,5.2,6.5,1392,1071,1392
295,N.14A,แม่น้ำน่าน,วัดหลวงพ่อแก้ว,ชุมแสง,นครสวรรค์,15.900158,100.306566,"WL,Q",,,,,,
296,N.22,แม่น้ำแควน้อย,บ้านยางป่าคาย,วัดโบสถ์,พิษณุโลก,,,WL,,,,,,
297,N.22A,แม่น้ำแควน้อย,บ้านท่างาม,วัดโบสถ์,พิษณุโลก,16.998866,100.326627,"WL,Q",,,,,,
298,N.24A,น้ำเข็ก,บ้านวังนกแอ่น,วังทอง,พิษณุโลก,16.847124,100.512095,"WL,Q",,,,,,
299,N.24B,น้ำเข็ก,บ้านวังทอง,วังทอง,พิษณุโลก,,,"WL,Q",,,,,,
300,N.27A,แม่น้ำน่าน,ท้ายเขื่อนนเรศวร,พรหมพิราม,พิษณุโลก,17.030781,100.180048,"WL,Q",,,,,,
301,N.28A,คลองตรอน,บ้านนากล่ำ,น้ำปาด,อุตรดิตถ์,,,"WL,Q",,,,,,
302,N.33,น้ำปาด,บ้านวังบ้าง,น้ำปาด,อุตรดิตถ์,,,WL,,,,,,
303,N.36,แม่น้ำแควน้อย,บ้านหนองกระท้าว,นครไทย,พิษณุโลก,17.085099,100.824672,"WL,Q",,,,,,
304,N.37,แม่น้ำน่าน,บ้านทับกฤช,ชุมแสง,นครสวรรค์,15.749629,100.24744,"WL,Q",,,,,,
305,N.39,น้ำปาด,บ้านฟากท่า,ฟากท่า,อุตรดิตถ์,17.997022,100.879092,"WL,Q",,,,,,
306,N.43A,ห้วยชมพู,บ้านชมพู,เนินมะปราง,พิษณุโลก,16.692324,100.670921,"WL,Q",,,,,,
307,N.49,น้ำยาว,บ้านน้ำยาว,ปัว,น่าน,18.993741,100.9401,"WL,Q",4.5,3.6,4.5,319.6,178.2,319.6
308,N.53,คลองบุษบง,บ้านห้วยตูม,ชนแดน,เพชรบูรณ์,,,WL,,,,,,
309,N.54,คลองวังโป่ง,บ้านวังโป่ง,วังโป่ง,เพชรบูรณ์,16.327472,100.801725,"WL,Q",,,,,,
310,N.55,น้ำภาค,บ้านท่าสะแก,ชาติตระการ,พิษณุโลก,17.25317,100.628244,"WL,Q",,,,,,
311,N.58,น้ำเฟื้อ,บ้านกกม่วง,นครไทย,พิษณุโลก,,,"WL,Q",,,,,,
312,N.59,น้ำคาน,บ้านนาโพธิ์นาจาน,นครไทย,พิษณุโลก,,,"WL,Q",,,,,,
313,N.60,แม่น้ำน่าน,บ้านเด่นสำโรง,ตรอน,อุตรดิตถ์,17.418329,100.130916,"WL,Q,R",,,,,,
314,N.62,น้ำคลึง,บ้านห้วยท่าเนื้อ,ชาติตระการ,พิษณุโลก,,,"WL,Q",,,,,,
315,N.63,น้ำแหง,บ้านหัวเมือง,นาน้อย,น่าน,,,"WL,Q",,,,,,
316,N.64,แม่น้ำน่าน,บ้านผาขวาง,เมือง,น่าน,19.015174,100.780216,"WL,Q",9.5,8,9.5,1006,755,1006
317,N.65,ห้วยน้ำยาว,บ้านปางสา,ท่าวังผา,น่าน,19.230405,100.754089,"WL,Q",5,4,5,210.4,152.84,210.4
318,N.66,ห้วยออมสิงห์,บ้านเนินเพิ่ม,นครไทย,พิษณุโลก,,,"WL,Q",,,,,,
319,N.67,แม่น้ำน่าน,วัดเกยไชยเหนือ,ชุมแสง,นครสวรรค์,15.868782,100.264391,"WL,Q,R",28.3,26.55,28.3,1393,,
320,N.72,คลองตรอน,บ้านวังปรากฎ,ทองแสนขัน,อุตรดิตถ์,,,"WL,Q",,,,,,
321,N.73,น้ำเข็ก,บ้านทานตะวัน,เขาค้อ,เพชรบูรณ์,16.569117,100.891787,"WL,Q",,,,,,
322,N.74,แม่น้ำน่าน,บางกระทุ่ม,บางกระทุ่ม,พิษณุโลก,,,"WL,Q",,,,,,
323,N.75,น้ำว้า,สะพานท่าลี่,เวียงสา,น่าน,,,"WL,Q",10,8,10,745.05,535.05,745.05
324,N.76,คลองห้วยชัน,บ้านหนองขอน,ชุมแสง,นครสวรรค์,15.92689,100.228865,WL,,,,,,
325,N.77,คลองท่ามะนาว,บ้านคลองคล้า,ชุมแสง,นครสวรรค์,15.906839,100.19683,WL,,,,,,
326,N.78,คลองบ้านบึง,บ้านหนองเต่าใต้,เก้าเลี้ยว,นครสวรรค์,15.892935,100.157172,WL,,,,,,
327,N.79,คลองห้วยรั้ว,บ้านยางใหญ่,เก้าเลี้ยว,นครสวรรค์,15.875624,100.137576,WL,,,,,,
328,N.80,คลองเกรียงไกร,บ้านบางพระหลวง,ชุมแสง,นครสวรรค์,15.74406,100.1852,WL,,,,,,
329,N.81,แม่น้ำแควน้อย,บ้านแก่งบัวคำ,ชาติตระการ,พิษณุโลก,17.128505,100.588066,"WL,Q",,,,,,
330,N.82,ห้วยน้ำรี,บ้านแก่งทรายงาม,ท่าปลา,อุตรดิตถ์,,,"WL,Q",,,,,,
331,N.84,น้ำปาด,น้ำปาด,น้ำปาด,อุตรดิตถ์,17.741026,100.679279,"WL,Q",,,,,,
332,N.85,แม่น้ำน่าน,สะพานแควใหญ่พัฒนา,เมือง,นครสวรรค์,15.721111,100.172222,"WL,Q",,,,,,
333,N.86,แม่น้ำน่าน,บ้านหนองแดง,เชียงกลาง,น่าน,,,"WL,Q",,,,,,
334,N.87,น้ำมวบ,บ้านภูแยง,สันติสุข,น่าน,,,"WL,Q",,,,,,
335,N.88,น้ำสา,บ้านกลาง,เวียงสา,น่าน,,,"WL,Q",,,,,,
336,N.89,คลองสอง,ต.หาดงิ้ว,เมือง,อุตรดิตถ์,17.699078,100.315542,"WL,Q",,,,,,
337,C.2,แม่น้ำเจ้าพระยา,ค่ายจิรประวัติ,เมือง,นครสวรรค์,15.670587,100.109359,"WL,Q,R",25.7,24.8,25.7,3660,,
338,C.3,แม่น้ำเจ้าพระยา,บ้านบางพุดทรา,เมือง,สิงห์บุรี,14.89868,100.401862,"WL,Q",13.4,12.4,13.4,3138,,
339,C.7A,แม่น้ำเจ้าพระยา,บ้านบางแก้ว,เมือง,อ่างทอง,14.590444,100.453289,"WL,Q",10,8.75,10,2875,,
340,C.12,แม่น้ำเจ้าพระยา,กรมชลประทานสามเสน,เขตดุสิต,กรุงเทพฯ,13.78815,100.509149,WL,2.26,2,2.26,,,
341,C.13,แม่น้ำเจ้าพระยา,ท้ายเขื่อนเจ้าพระยา,สรรพยา,ชัยนาท,15.163843,100.187916,"WL,Q,R",16.34,15.15,16.34,2716,,
342,C.22A,แม่น้ำเจ้าพระยา,กรมชลประทานปากเกร็ด,ปากเกร็ด,นนทบุรี,13.89474,100.49199,WL,2.9,2.7,2.9,,,
343,C.28A,คลองบางแก้ว,บ้านอิฐ,เมือง,อ่างทอง,14.594869,100.487063,WL,,,,,,
